"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VUSBLXHJ","journalArticle","1988","Baker-Ward, Lynne; Ornstein, Peter A.","Age differences in visual-spatial memory performance: Do children really out-perform adults when playing Concentration?","Bulletin of the Psychonomic Society","","0090-5054","10.3758/BF03337672","http://link.springer.com/10.3758/BF03337672","","1988-10","2022-03-23 11:55:02","2022-03-23 11:55:02","2022-03-23 11:55:02","331-332","","4","26","","Bull. Psychon. Soc.","Age differences in visual-spatial memory performance","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\FHM4BBEZ\Baker-Ward and Ornstein - 1988 - Age differences in visual-spatial memory performan.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZCEF5SGR","journalArticle","1993","Baker-Ward, Lynne; Gordon, Betty N.; Ornstein, Peter A.; Larus, Deanna M.; Clubb, Patricia A.","Young Children's Long-Term Retention of a Pediatric Examination","Child Development","","00093920","10.2307/1131550","https://www.jstor.org/stable/1131550?origin=crossref","","1993-10","2022-03-23 11:55:04","2022-03-23 11:55:04","2022-03-23 11:55:04","1519","","5","64","","Child Development","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\PTCHBUPA\Baker-Ward et al. - 1993 - Young Children's Long-Term Retention of a Pediatri.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HI7TT3AE","journalArticle","2008","Balcomb, Frances K.; Gerken, LouAnn","Three-year-old children can access their own memory to guide responses on a visual matching task","Developmental Science","","1363755X, 14677687","10.1111/j.1467-7687.2008.00725.x","https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2008.00725.x","Many models of learning rely on accessing internal knowledge states. Yet, although infants and young children are recognized to be proﬁcient learners, the ability to act on metacognitive information is not thought to develop until early school years. In the experiments reported here, 3.5-year-olds demonstrated memory-monitoring skills by responding on a non-verbal task originally developed for non-human animals, in which they had to access their knowledge states. Children learned a set of paired associates, and were given the option to skip uncertain trials on a recognition memory test. Accuracy for accepted items was signiﬁcantly higher than for skipped on a subsequent memory task that included all items. Additionally, children whose memorymonitoring assessments more closely matched actual memory performance showed superior overall learning, suggesting a correlation between memory-monitoring and memory itself. The results suggest that children may have implicit access to internal knowledge states at very young ages, providing an explanation for how they are able to guide learning, even as infants.","2008-09","2022-03-23 11:55:06","2022-03-23 11:55:06","2022-03-23 11:55:06","750-760","","5","11","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\5QFYH8PW\Balcomb and Gerken - 2008 - Three-year-old children can access their own memor.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K4ACGVW3","journalArticle","2007","Barry, Elaine S.","Does Conceptual Implicit Memory Develop? The Role of Processing Demands","The Journal of Genetic Psychology","","0022-1325, 1940-0896","10.3200/GNTP.168.1.19-36","http://www.tandfonline.com/doi/abs/10.3200/GNTP.168.1.19-36","The author investigated the importance of processing considerations within implicit memory in a developmental design. Second-graders (n = 87) and college students (n = 81) completed perceptual (word stem completion) and conceptual (category generation) implicit memory tests after studying target items either nonsemantically (read) or semantically (generated). In support of previous research, the author found no age differences in priming in the nonsemantic study/perceptual test condition. Age differences in priming were found in the semantic study/conceptual test condition, however, where college students had significantly higher priming scores than did children. These developmental dissociations support the theory that the processing requirements of conceptual implicit memory are similar to those in explicit memory. The author also discusses the contribution of the Transfer Appropriate Processing (TAP; H. L. Roediger, D. A. Gallo, & L. Geraci, 2002) framework to understanding these findings.","2007-08-21","2022-03-23 11:55:08","2022-03-23 11:55:08","2022-03-23 11:55:08","19-36","","1","168","","The Journal of Genetic Psychology","Does Conceptual Implicit Memory Develop?","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\BLWY2PPG\Barry - 2007 - Does Conceptual Implicit Memory Develop The Role .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5AHBVE4M","journalArticle","2005","Bauer, Patricia J.; Stark, Emily N.; Lukowski, Angela F.; Rademacher, Jennifer; Van Abbema, Dana L.; Ackil, Jennifer K.","Working Together to Make Sense of the Past: Mothers' and Children's Use of Internal States Language in Conversations about Traumatic and Nontraumatic Events","Journal of Cognition and Development","","1524-8372, 1532-7647","10.1207/s15327647jcd0604_2","http://www.tandfonline.com/doi/abs/10.1207/s15327647jcd0604_2","","2005-11","2022-03-23 11:55:10","2022-03-23 11:55:10","2022-03-23 11:55:10","463-488","","4","6","","Journal of Cognition and Development","Working Together to Make Sense of the Past","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\SCXJXEI4\Bauer et al. - 2005 - Working Together to Make Sense of the Past Mother.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79H8MTVL","journalArticle","2007","Bauer, Patricia J.; Burch, Melissa M.; Scholin, Sarah E.; Güler, O. Evren","Using Cue Words to Investigate the Distribution of Autobiographical Memories in Childhood","Psychological Science","","0956-7976, 1467-9280","10.1111/j.1467-9280.2007.01999.x","http://journals.sagepub.com/doi/10.1111/j.1467-9280.2007.01999.x","The cue-word technique is frequently used with adults to examine the distribution of autobiographical memories across the life span. Such studies demonstrate childhood amnesia: a paucity of memories of events from the ﬁrst 3½ years of life, and a gradually increasing number of memories from age 3 to age 7. The pattern is remarkable in light of ﬁndings of autobiographical competence among children in the period of life eventually obscured by this amnesia. In the present study, we modiﬁed the cue-word task for use with school-age children. Sevento 10-year-olds successfully generated and dated memories of past events. Girls provided more complete narratives than boys. Across the sample, the resulting distribution of memories was better ﬁt by an exponential than by a power function, implying that early memories may not consolidate and instead remain vulnerable to interference. Implications for explanations of childhood amnesia are discussed.","2007-10","2022-03-23 11:55:12","2022-03-23 11:55:13","2022-03-23 11:55:12","910-916","","10","18","","Psychol Sci","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\G72LX964\Bauer et al. - 2007 - Using Cue Words to Investigate the Distribution of.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MWHFBRJM","journalArticle","2007","Bauer, Patricia J.; Burch, Melissa M.; Van Abbema, Dana L.; Ackil, Jennifer K.","Talking about Twisters: Relations between Mothers' and Children's Contributions to Conversations about a Devastating Tornado","Journal of Cognition and Development","","1524-8372, 1532-7647","10.1080/15248370701612936","http://www.tandfonline.com/doi/abs/10.1080/15248370701612936","","2007-10-26","2022-03-23 11:55:14","2022-03-23 11:55:14","2022-03-23 11:55:14","371-399","","4","8","","Journal of Cognition and Development","Talking about Twisters","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\S8GDNBTU\Bauer et al. - 2007 - Talking about Twisters Relations between Mothers'.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SVWF5WR2","journalArticle","2010","Bauer, Patricia J.; Souci, Priscilla San","Going beyond the facts: Young children extend knowledge by integrating episodes","Journal of Experimental Child Psychology","","00220965","10.1016/j.jecp.2010.05.012","https://linkinghub.elsevier.com/retrieve/pii/S0022096510001098","The major question posed in this research was whether 4- and 6year-olds productively extend their knowledge by integrating information acquired in separate episodes. The vehicle was a read-aloud activity during which children were presented with a novel fact in each of two passages. In Experiment 1, both age groups showed evidence of integration between the passages. For the 6-year-olds, the evidence came in the form of responses to open-ended questions. The 4-year-olds recognized the correct answers but did not generate them in the open-ended question format. The 6-year-olds who generated the correct answers also were likely to recall both of the individual facts presented in the passages. In Experiment 2, we tested whether the 4-year-olds’ integration performance would improve if their memory for the individual facts improved. Extra exposure to the individual facts resulted in higher levels of integration performance in both recall and recognition testing. The roles of memory and other potential sources of age-related differences in integration performance are discussed.","2010-12","2022-03-23 11:55:16","2022-03-23 11:55:16","2022-03-23 11:55:16","452-465","","4","107","","Journal of Experimental Child Psychology","Going beyond the facts","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\U79SAIXT\Bauer and Souci - 2010 - Going beyond the facts Young children extend know.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G8UYUXDN","journalArticle","2012","Bauer, Patricia J.; Doydum, Ayzit O.; Pathman, Thanujeni; Larkina, Marina; Güler, O. Evren; Burch, Melissa","It’s all about location, location, location: Children’s memory for the “where” of personally experienced events","Journal of Experimental Child Psychology","","00220965","10.1016/j.jecp.2012.06.007","https://linkinghub.elsevier.com/retrieve/pii/S0022096512001099","Episodic memory is deﬁned as the ability to recall speciﬁc past events located in a particular time and place. Over the preschool and into the school years, there are clear developmental changes in memory for when events took place. In contrast, little is known about developmental changes in memory for where events were experienced. In the current research, we tested 4-, 6-, and 8-yearold children’s memories for speciﬁc laboratory events, each of which was experienced in a unique location. We also tested the children’s memories for the conjunction of the events and their locations. Agerelated differences were observed in all three types of memory (event, location, and conjunction of event and location), with the most pronounced differences being in memory for conjunctions of events and their locations. The results have implications for our understanding of the development of episodic memory, including suggestions of protracted development of the ability to contextualize events in their spatial locations.","2012-12","2022-03-23 11:55:18","2022-03-23 11:55:18","2022-03-23 11:55:18","510-522","","4","113","","Journal of Experimental Child Psychology","It’s all about location, location, location","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\4K85V2N7\Bauer et al. - 2012 - It’s all about location, location, location Child.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RILZ8KLG","journalArticle","2012","Bauer, Patricia J.; King, Jessica E.; Larkina, Marina; Varga, Nicole L.; White, Elizabeth A.","Characters and clues: Factors affecting children’s extension of knowledge through integration of separate episodes","Journal of Experimental Child Psychology","","00220965","10.1016/j.jecp.2011.10.005","https://linkinghub.elsevier.com/retrieve/pii/S0022096511002360","Children build up knowledge about the world and also remember individual episodes. How individual episodes during which children learn new things become integrated with one another to form general knowledge is only beginning to be explored. Integration between separate episodes is called on in educational contexts and in everyday life as a major means of extending knowledge and organizing information. Bauer and San Souci (2010) provided an initial demonstration that 6-year-olds extend their knowledge by integrating between separate but related episodes; the episodes shared a high level of surface similarity. Experiments 1A and 1B of the current research were tests of integration under low and high levels of surface similarity, respectively. In Experiment 1A, when surface similarity of the episodes was low, 6-year-olds integrated between passages of text, yet their performance was not as robust as observed previously. In Experiment 1B, when surface similarity of the episodes was high, a replication of Bauer and San Souci’s results was observed. In Experiment 2, we tested whether a ‘‘hint’’ to consult the information learned in the passages improved performance even when surface level similarity was low. The hint had a strong facilitating effect. Possible mechanisms of integration between separate yet related episodes are discussed.","2012-04","2022-03-23 11:55:20","2022-03-23 11:55:21","2022-03-23 11:55:20","681-694","","4","111","","Journal of Experimental Child Psychology","Characters and clues","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\SRR98S2F\Bauer et al. - 2012 - Characters and clues Factors affecting children’s.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5R5T8YWI","journalArticle","2012","Bauer, Patricia J.; Larkina, Marina; Doydum, Ayzit O.","Explaining variance in long-term recall in 3- and 4-year-old children: The importance of post-encoding processes","Journal of Experimental Child Psychology","","00220965","10.1016/j.jecp.2012.05.006","https://linkinghub.elsevier.com/retrieve/pii/S0022096512000896","Long-term recall is inﬂuenced by what originally was encoded as well as by the efﬁcacy of retrieval processes. The possible explanatory role of post-encoding processes by which initially labile memory traces are stabilized and integrated into long-term memory (i.e., consolidated) has received relatively less research attention. In the current research, we examined 3- and 4-year-old children’s recall of multi-step event sequences immediately after seeing them modeled as a measure of encoding, 1 week later as a measure of the status of the memory trace post-encoding, and 1 month later as an assessment of long-term recall. We tested recall of events with three different levels of internal structure and with three different levels of support for retrieval. Measures of the post-encoding status of the memory trace explained signiﬁcant variance in long-term recall when they were the sole predictors of performance, and they contributed unique variance in long-term recall even after accounting for the variance associated with encoding. The results imply that a complete explanation of forgetting during childhood must include not only roles for encoding and retrieval processes but also roles for post-encoding processes.","2012-10","2022-03-23 11:55:22","2022-03-23 11:55:23","2022-03-23 11:55:22","195-210","","2","113","","Journal of Experimental Child Psychology","Explaining variance in long-term recall in 3- and 4-year-old children","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\PHI6VL64\Bauer et al. - 2012 - Explaining variance in long-term recall in 3- and .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HG72WKFN","journalArticle","2013","Bauer, Patricia J.; Dikmen, Sureyya S.; Heaton, Robert K.; Mungas, Dan; Slotkin, Jerry; Beaumont, Jennifer L.","III. NIH TOOLBOX COGNITION BATTERY (CB): MEASURING EPISODIC MEMORY","Monographs of the Society for Research in Child Development","","0037976X","10.1111/mono.12033","https://onlinelibrary.wiley.com/doi/10.1111/mono.12033","One of the most signiﬁcant domains of cognition is episodic memory, which allows for rapid acquisition and long-term storage of new information. For purposes of the NIH Toolbox, we devised a new test of episodic memory. The nonverbal NIH Toolbox Picture Sequence Memory Test (TPSMT) requires participants to reproduce the order of an arbitrarily ordered sequence of pictures presented on a computer. To adjust for ability, sequence length varies from 6 to 15 pictures. Multiple trials are administered to increase reliability. Pediatric data from the validation study revealed the TPSMT to be sensitive to age-related changes. The task also has high test–retest reliability and promising construct validity. Steps to further increase the sensitivity of the instrument to individual and age-related variability are described.","2013-08","2022-03-23 11:55:24","2022-06-02 13:04:45","2022-03-23 11:55:24","34-48","","4","78","","Monographs Society Res Child","III. NIH TOOLBOX COGNITION BATTERY (CB)","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\VPLPU6GT\Bauer et al. - 2013 - III. NIH TOOLBOX COGNITION BATTERY (CB) MEASURING.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HIE3E2GS","journalArticle","2014","Bauer, Patricia J.; Larkina, Marina","Childhood amnesia in the making: Different distributions of autobiographical memories in children and adults.","Journal of Experimental Psychology: General","","1939-2222, 0096-3445","10.1037/a0033307","http://doi.apa.org/getdoi.cfm?doi=10.1037/a0033307","Within the memory literature, a robust finding is of childhood amnesia: a relative paucity among adults for autobiographical or personal memories from the first 3 to 4 years of life, and from the first 7 years, a smaller number of memories than would be expected based on normal forgetting. Childhood amnesia is observed in spite of strong evidence that during the period eventually obscured by the amnesia, children construct and preserve autobiographical memories. Why early memories seemingly are lost to recollection is an unanswered question. In the present research, we examined the issue by using the cue word technique to chart the distributions of autobiographical memories in samples of children ages 7 to 11 years and samples of young and middle-aged adults. Among adults, the distributions were best fit by the power function, whereas among children, the exponential function provided a better fit to the distributions of memories. The findings suggest that a major source of childhood amnesia is a constant rate of forgetting in childhood, seemingly resulting from failed consolidation, the outcome of which is a smaller pool of memories available for later retrieval.","2014","2022-03-23 11:55:27","2022-03-23 11:55:27","2022-03-23 11:55:27","597-611","","2","143","","Journal of Experimental Psychology: General","Childhood amnesia in the making","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\JVZYPEGL\Bauer and Larkina - 2014 - Childhood amnesia in the making Different distrib.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
