Contrast,Similarity
1 vs. 1,0.725490196
1 vs. 1,0.62933635
1 vs. 1,0.582579186
1 vs. 1,0.549019608
1 vs. 1,0.441876751
1 vs. 1,0.468891403
1 vs. 1,0.411199095
1 vs. 1,0.383861237
1 vs. 1,0.516968326
1 vs. 1,0.566634346
1 vs. 1,0.600409395
1 vs. 1,0.472204266
1 vs. 1,0.561947856
1 vs. 1,0.707579186
1 vs. 1,0.668140683
1 vs. 1,0.668140683
1 vs. 1,0.690045249
1 vs. 1,0.754147813
1 vs. 1,0.587104072
1 vs. 1,0.694852941
1 vs. 1,0.636554622
1 vs. 1,0.489441931
1 vs. 1,0.478695324
1 vs. 1,0.565718595
1 vs. 1,0.579293256
1 vs. 1,0.719457014
1 vs. 1,0.642533937
1 vs. 1,0.668067227
1 vs. 1,0.596638655
1 vs. 1,0.534313725
1 vs. 1,0.665158371
1 vs. 1,0.609728507
1 vs. 1,0.827677225
1 vs. 1,0.609728507
1 vs. 1,0.686651584
1 vs. 1,0.590497738
1 vs. 1,0.642156863
1 vs. 1,0.701680672
1 vs. 1,0.587768441
1 vs. 1,0.654435107
1 vs. 1,0.618347339
1 vs. 1,0.68977591
1 vs. 1,0.618347339
1 vs. 1,0.68977591
1 vs. 1,0.628851541
1 vs. 1,0.523594053
1 vs. 1,0.488687783
1 vs. 1,0.492081448
1 vs. 1,0.71719457
1 vs. 1,0.588396897
1 vs. 1,0.562594268
1 vs. 1,0.541289593
1 vs. 1,0.577865762
1 vs. 1,0.674019608
1 vs. 1,0.603506787
1 vs. 1,0.524886878
1 vs. 1,0.651260504
1 vs. 1,0.652337858
1 vs. 1,0.613939165
1 vs. 1,0.597913524
1 vs. 1,0.674836601
1 vs. 1,0.602187029
1 vs. 1,0.640648567
1 vs. 1,0.649321267
1 vs. 1,0.602941176
1 vs. 1,0.586928105
1 vs. 1,0.520261438
1 vs. 1,0.563137255
1 vs. 1,0.496470588
1 vs. 1,0.429803922
1 vs. 1,0.481825038
1 vs. 1,0.653092006
1 vs. 1,0.691553544
1 vs. 1,0.573044602
1 vs. 1,0.573044602
1 vs. 1,0.534583064
1 vs. 1,0.712669683
1 vs. 1,0.557692308
1 vs. 1,0.492458522
1 vs. 1,0.460245637
1 vs. 1,0.465546218
1 vs. 1,0.47219888
1 vs. 1,0.680995475
1 vs. 1,0.729449472
1 vs. 1,0.7326546
1 vs. 1,0.69494721
1 vs. 1,0.658371041
1 vs. 1,0.715686275
1 vs. 1,0.797511312
1 vs. 1,0.662895928
1 vs. 1,0.816742081
1 vs. 1,0.586349925
1 vs. 1,0.650452489
1 vs. 1,0.648755656
1 vs. 1,0.725678733
1 vs. 1,0.597500539
1 vs. 1,0.620681606
1 vs. 1,0.680205415
1 vs. 1,0.620681606
1 vs. 1,0.680205415
1 vs. 1,0.626633987
1 vs. 1,0.51147382
1 vs. 1,0.594807154
1 vs. 1,0.53070459
1 vs. 1,0.594807154
1 vs. 1,0.484917044
1 vs. 1,0.561840121
1 vs. 1,0.674962293
1 vs. 1,0.75188537
1 vs. 1,0.638763198
1 vs. 1,0.563865546
1 vs. 1,0.64719888
1 vs. 1,0.591176471
1 vs. 1,0.668099548
1 vs. 1,0.689140271
1 vs. 1,0.766063348
1 vs. 1,0.586349925
1 vs. 1,0.604323781
1 vs. 1,0.524240465
1 vs. 1,0.663838612
1 vs. 1,0.676470588
1 vs. 1,0.599547511
1 vs. 1,0.597285068
1 vs. 1,0.696186167
1 vs. 1,0.428355958
1 vs. 1,0.631975867
1 vs. 1,0.631975867
1 vs. 1,0.708898944
1 vs. 1,0.66214178
1 vs. 1,0.738310709
1 vs. 1,0.685843568
1 vs. 1,0.751474016
1 vs. 1,0.732243247
1 vs. 1,0.721719457
1 vs. 1,0.611344538
1 vs. 1,0.670437406
1 vs. 1,0.575414781
1 vs. 1,0.652337858
1 vs. 1,0.677978884
1 vs. 1,0.492889463
1 vs. 1,0.527472527
1 vs. 1,0.690368455
1 vs. 1,0.716009481
1 vs. 1,0.767291532
1 vs. 1,0.792717087
1 vs. 1,0.722204266
1 vs. 1,0.645281189
1 vs. 1,0.71579401
1 vs. 1,0.592760181
1 vs. 1,0.50678733
1 vs. 1,0.546757164
1 vs. 1,0.618778281
1 vs. 1,0.63800905
1 vs. 1,0.516968326
1 vs. 1,0.51503268
1 vs. 1,0.649321267
1 vs. 1,0.711269123
1 vs. 1,0.591063348
1 vs. 1,0.587750485
1 vs. 1,0.646574014
1 vs. 1,0.683904331
1 vs. 1,0.722365869
1 vs. 1,0.735186382
1 vs. 1,0.709545357
1 vs. 1,0.510935143
1 vs. 1,0.581447964
1 vs. 1,0.571266968
1 vs. 1,0.5
1 vs. 1,0.562513467
1 vs. 1,0.476729153
1 vs. 1,0.587104072
1 vs. 1,0.397699849
1 vs. 1,0.372058824
1 vs. 1,0.748060763
1 vs. 1,0.753770739
1 vs. 1,0.548642534
1 vs. 1,0.721719457
1 vs. 1,0.523001508
1 vs. 1,0.739253394
1 vs. 1,0.867458522
1 vs. 1,0.602941176
1 vs. 1,0.743320405
1 vs. 1,0.725678733
1 vs. 1,0.535294118
1 vs. 1,0.753242836
1 vs. 1,0.746832579
1 vs. 1,0.644268477
1 vs. 1,0.682730015
1 vs. 1,0.522509004
1 vs. 1,0.68917567
1 vs. 1,0.510154062
1 vs. 1,0.785444947
1 vs. 1,0.485132515
1 vs. 1,0.669198449
1 vs. 1,0.707659987
1 vs. 1,0.685197156
1 vs. 1,0.62311463
1 vs. 1,0.651260504
1 vs. 1,0.546218487
1 vs. 1,0.483193277
1 vs. 1,0.556297134
1 vs. 1,0.659049774
1 vs. 1,0.614145658
1 vs. 1,0.507189542
1 vs. 1,0.579411765
1 vs. 1,0.681372549
1 vs. 1,0.596078431
1 vs. 1,0.651633987
1 vs. 1,0.576923077
1 vs. 1,0.653846154
1 vs. 1,0.653846154
1 vs. 1,0.576923077
1 vs. 1,0.679487179
1 vs. 1,0.756410256
1 vs. 1,0.460084034
1 vs. 1,0.531512605
1 vs. 1,0.531512605
1 vs. 1,0.460084034
1 vs. 1,0.603116246
1 vs. 1,0.606334842
1 vs. 1,0.570889894
1 vs. 1,0.64221073
1 vs. 1,0.608220211
1 vs. 1,0.608220211
1 vs. 1,0.67291532
1 vs. 1,0.634453782
1 vs. 1,0.737017884
1 vs. 1,0.67571644
1 vs. 1,0.752639517
1 vs. 1,0.456887883
1 vs. 1,0.562809739
1 vs. 1,0.601055807
1 vs. 1,0.610213316
1 vs. 1,0.58496732
1 vs. 1,0.554901961
1 vs. 1,0.610457516
1 vs. 1,0.610457516
1 vs. 1,0.631598793
1 vs. 1,0.685331825
1 vs. 1,0.668740573
1 vs. 1,0.687405732
1 vs. 1,0.617458522
1 vs. 1,0.576923077
1 vs. 1,0.576923077
1 vs. 1,0.590120664
1 vs. 1,0.551659125
1 vs. 1,0.600570998
1 vs. 1,0.606981254
1 vs. 1,0.639032536
1 vs. 1,0.581340228
1 vs. 1,0.634803922
1 vs. 1,0.597285068
1 vs. 1,0.493966817
1 vs. 1,0.493966817
1 vs. 1,0.585972851
1 vs. 1,0.569570136
1 vs. 1,0.671730231
1 vs. 1,0.684550743
1 vs. 1,0.685520362
1 vs. 1,0.728722258
1 vs. 1,0.713369963
1 vs. 1,0.614177979
1 vs. 1,0.697511312
1 vs. 1,0.710331825
1 vs. 1,0.671870287
1 vs. 1,0.659049774
1 vs. 1,0.568627451
1 vs. 1,0.635746606
1 vs. 1,0.749321267
1 vs. 1,0.606992797
1 vs. 1,0.755802321
1 vs. 1,0.567076831
1 vs. 1,0.603749192
1 vs. 1,0.73195432
1 vs. 1,0.738364577
1 vs. 1,0.667851756
1 vs. 1,0.603749192
1 vs. 1,0.604323781
1 vs. 1,0.588914027
1 vs. 1,0.51199095
1 vs. 1,0.51199095
1 vs. 1,0.483753501
1 vs. 1,0.500420168
1 vs. 1,0.567086835
1 vs. 1,0.562418301
1 vs. 1,0.602591036
1 vs. 1,0.518665158
1 vs. 1,0.517533937
1 vs. 1,0.556399483
1 vs. 1,0.588450765
1 vs. 1,0.511527688
1 vs. 1,0.684604611
1 vs. 1,0.678194355
1 vs. 1,0.671784098
1 vs. 1,0.685520362
1 vs. 1,0.853883861
1 vs. 1,0.655542986
1 vs. 1,0.692307692
1 vs. 1,0.652337858
1 vs. 1,0.729260935
1 vs. 1,0.706232493
1 vs. 1,0.590874811
1 vs. 1,0.603695324
1 vs. 1,0.446732026
1 vs. 1,0.806399483
1 vs. 1,0.74819928
1 vs. 1,0.441830065
1 vs. 1,0.789781297
1 vs. 1,0.71285822
1 vs. 1,0.686085973
1 vs. 1,0.76300905
1 vs. 1,0.746606335
1 vs. 1,0.760180995
1 vs. 1,0.558823529
1 vs. 1,0.597285068
1 vs. 1,0.635746606
1 vs. 1,0.74321267
1 vs. 1,0.686390533
1 vs. 1,0.67357002
1 vs. 1,0.606981254
1 vs. 1,0.582148244
1 vs. 1,0.578305681
1 vs. 1,0.596243626
1 vs. 1,0.768476621
1 vs. 1,0.576168929
1 vs. 1,0.537707391
1 vs. 1,0.44840372
1 vs. 1,0.504758314
1 vs. 1,0.799127343
1 vs. 1,0.722204266
1 vs. 1,0.463423831
1 vs. 1,0.406297134
1 vs. 1,0.508968972
1 vs. 1,0.577219349
1 vs. 1,0.592445953
1 vs. 1,0.62369948
1 vs. 1,0.683223289
1 vs. 1,0.552270908
1 vs. 1,0.611794718
1 vs. 1,0.544602456
1 vs. 1,0.642911011
1 vs. 1,0.566553544
1 vs. 1,0.531297134
1 vs. 1,0.61387632
1 vs. 1,0.656862745
1 vs. 1,0.631221719
1 vs. 1,0.512184874
1 vs. 1,0.512184874
1 vs. 1,0.524509804
1 vs. 1,0.601432881
1 vs. 1,0.471288515
1 vs. 1,0.667717087
1 vs. 1,0.606992797
1 vs. 1,0.684373749
1 vs. 1,0.571278511
1 vs. 1,0.648659464
1 vs. 1,0.555205415
1 vs. 1,0.626633987
1 vs. 1,0.660822021
1 vs. 1,0.623626374
1 vs. 1,0.522166559
1 vs. 1,0.56333046
1 vs. 1,0.444067371
1 vs. 1,0.662016088
1 vs. 1,0.591575092
1 vs. 1,0.609343737
1 vs. 1,0.680772309
1 vs. 1,0.757595346
1 vs. 1,0.740142211
1 vs. 1,0.567065288
1 vs. 1,0.62640056
1 vs. 1,0.703781513
1 vs. 1,0.535633484
1 vs. 1,0.639255702
1 vs. 1,0.614845938
1 vs. 1,0.545356604
1 vs. 1,0.635100194
1 vs. 1,0.608597285
1 vs. 1,0.704751131
1 vs. 1,0.759534583
1 vs. 1,0.688590821
1 vs. 1,0.713549522
1 vs. 1,0.594537815
1 vs. 1,0.594537815
1 vs. 1,0.738612368
1 vs. 1,0.738612368
1 vs. 1,0.442684766
1 vs. 1,0.666505064
1 vs. 1,0.577030812
1 vs. 1,0.602941176
1 vs. 1,0.518099548
1 vs. 1,0.595022624
1 vs. 1,0.453996983
1 vs. 1,0.53070459
1 vs. 1,0.607627666
1 vs. 1,0.466602025
1 vs. 1,0.535294118
1 vs. 1,0.439140271
1 vs. 1,0.682611506
1 vs. 1,0.6267507
1 vs. 1,0.640648567
1 vs. 1,0.794494721
1 vs. 1,0.669117647
1 vs. 1,0.514140271
1 vs. 1,0.571832579
1 vs. 1,0.518961431
1 vs. 1,0.557422969
1 vs. 1,0.518961431
1 vs. 1,0.529977376
1 vs. 1,0.561840121
1 vs. 1,0.677440207
1 vs. 1,0.508780435
1 vs. 1,0.667420814
1 vs. 1,0.423453997
1 vs. 1,0.648567119
1 vs. 1,0.67067981
1 vs. 1,0.632218272
1 vs. 1,0.734782374
1 vs. 1,0.584518423
1 vs. 1,0.649321267
1 vs. 1,0.711376858
1 vs. 1,0.67291532
1 vs. 1,0.414565826
1 vs. 1,0.5381922
1 vs. 1,0.620198079
1 vs. 1,0.568519716
1 vs. 1,0.516214178
1 vs. 1,0.473389356
1 vs. 1,0.55130719
1 vs. 1,0.792286145
1 vs. 1,0.651260504
1 vs. 1,0.477941176
1 vs. 1,0.682623049
1 vs. 1,0.624742904
1 vs. 1,0.513883176
1 vs. 1,0.513197587
1 vs. 1,0.611236802
1 vs. 1,0.464177979
1 vs. 1,0.714285714
1 vs. 1,0.601163542
1 vs. 1,0.678086619
1 vs. 1,0.748868778
1 vs. 1,0.635746606
1 vs. 1,0.593891403
1 vs. 1,0.652930403
1 vs. 1,0.576680672
1 vs. 1,0.648109244
1 vs. 1,0.608771319
1 vs. 1,0.642857143
1 vs. 1,0.485132515
1 vs. 1,0.619801767
1 vs. 1,0.465955613
1 vs. 1,0.683904331
1 vs. 1,0.529034691
1 vs. 1,0.509803922
1 vs. 1,0.755009696
1 vs. 1,0.711161388
1 vs. 1,0.689183366
1 vs. 1,0.63262228
1 vs. 1,0.74844938
1 vs. 1,0.477641056
1 vs. 1,0.866666667
1 vs. 1,0.492717087
1 vs. 1,0.551633987
1 vs. 1,0.579411765
1 vs. 1,0.592140104
1 vs. 1,0.524816176
1 vs. 1,0.493566176
1 vs. 1,0.681372549
1 vs. 1,0.538702148
1 vs. 1,0.52369281
1 vs. 1,0.590359477
1 vs. 1,0.522712418
1 vs. 1,0.50270775
1 vs. 1,0.547794118
1 vs. 1,0.538702148
1 vs. 1,0.572869532
1 vs. 1,0.441339869
1 vs. 1,0.541339869
1 vs. 1,0.544864613
1 vs. 1,0.639869281
1 vs. 1,0.539391654
1 vs. 1,0.48837535
1 vs. 1,0.615761689
1 vs. 1,0.649095023
1 vs. 1,0.639705882
1 vs. 1,0.606372549
1 vs. 1,0.695261438
1 vs. 1,0.823039216
1 vs. 1,0.639705882
1 vs. 1,0.610392157
1 vs. 1,0.627871148
1 vs. 1,0.566742081
1 vs. 1,0.530442433
1 vs. 1,0.557792861
1 vs. 1,0.468903972
1 vs. 1,0.631322272
1 vs. 1,0.51733702
1 vs. 1,0.528808446
1 vs. 1,0.500731404
1 vs. 1,0.429713424
1 vs. 1,0.651608849
1 vs. 1,0.803858723
1 vs. 1,0.807616893
1 vs. 1,0.792747612
1 vs. 1,0.558235294
1 vs. 1,0.579411765
1 vs. 1,0.389309057
1 vs. 1,0.423202614
1 vs. 1,0.429505135
1 vs. 1,0.422297637
1 vs. 1,0.628823529
1 vs. 1,0.678871292
1 vs. 1,0.560550887
1 vs. 1,0.601503268
1 vs. 1,0.645947712
1 vs. 1,0.507058824
1 vs. 1,0.47372549
1 vs. 1,0.495555556
1 vs. 1,0.495555556
1 vs. 1,0.497189542
1 vs. 1,0.52496732
1 vs. 1,0.491036415
1 vs. 1,0.524369748
1 vs. 1,0.508157366
1 vs. 1,0.505182073
1 vs. 1,0.510737628
1 vs. 1,0.560633484
1 vs. 1,0.588515406
1 vs. 1,0.527300151
1 vs. 1,0.568740573
1 vs. 1,0.709232026
1 vs. 1,0.692565359
1 vs. 1,0.542565359
1 vs. 1,0.689705882
1 vs. 1,0.723039216
1 vs. 1,0.567156863
1 vs. 1,0.562091503
1 vs. 1,0.565761689
1 vs. 1,0.599095023
1 vs. 1,0.73496732
1 vs. 1,0.568300654
1 vs. 1,0.618300654
1 vs. 1,0.557189542
1 vs. 1,0.496568627
1 vs. 1,0.616063348
1 vs. 1,0.616063348
1 vs. 1,0.450420168
1 vs. 1,0.400420168
1 vs. 1,0.376405229
1 vs. 1,0.43968254
1 vs. 1,0.550793651
1 vs. 1,0.542250233
1 vs. 1,0.470028011
1 vs. 1,0.542250233
1 vs. 1,0.562745098
1 vs. 1,0.665266106
1 vs. 1,0.731932773
1 vs. 1,0.643665158
1 vs. 1,0.632554047
1 vs. 1,0.537782805
1 vs. 1,0.702538964
1 vs. 1,0.682830568
1 vs. 1,0.399533147
1 vs. 1,0.392670401
1 vs. 1,0.548622782
1 vs. 1,0.546171802
1 vs. 1,0.621317245
1 vs. 1,0.554650578
1 vs. 1,0.654650578
1 vs. 1,0.587983912
1 vs. 1,0.589939309
1 vs. 1,0.554313725
1 vs. 1,0.497432306
1 vs. 1,0.63076564
1 vs. 1,0.575210084
1 vs. 1,0.575210084
1 vs. 1,0.475210084
1 vs. 1,0.71214178
1 vs. 1,0.701030669
1 vs. 1,0.735268979
1 vs. 1,0.735268979
1 vs. 1,0.678808446
1 vs. 1,0.678808446
1 vs. 1,0.678808446
1 vs. 1,0.678808446
1 vs. 1,0.699522373
1 vs. 1,0.471008403
1 vs. 1,0.539803922
1 vs. 1,0.541036415
1 vs. 1,0.553454715
1 vs. 1,0.457013575
1 vs. 1,0.503202614
1 vs. 1,0.553856209
1 vs. 1,0.644864613
1 vs. 1,0.661531279
1 vs. 1,0.650420168
1 vs. 1,0.431232493
1 vs. 1,0.544570136
1 vs. 1,0.61214178
1 vs. 1,0.643169935
1 vs. 1,0.662614379
1 vs. 1,0.662614379
1 vs. 1,0.54519141
1 vs. 1,0.611060835
1 vs. 1,0.544268477
1 vs. 1,0.647888386
1 vs. 1,0.702840623
1 vs. 1,0.636173957
1 vs. 1,0.715761689
1 vs. 1,0.615761689
1 vs. 1,0.649095023
1 vs. 1,0.362826797
1 vs. 1,0.586788049
1 vs. 1,0.653454715
1 vs. 1,0.544871795
1 vs. 1,0.544871795
1 vs. 1,0.511538462
1 vs. 1,0.528823529
1 vs. 1,0.52745098
1 vs. 1,0.468464052
1 vs. 1,0.390826331
1 vs. 1,0.471356209
1 vs. 1,0.553300654
1 vs. 1,0.572222222
1 vs. 1,0.724824032
1 vs. 1,0.694268477
1 vs. 1,0.660030166
1 vs. 1,0.699346405
1 vs. 1,0.655379588
1 vs. 1,0.70447461
1 vs. 1,0.665585721
1 vs. 1,0.665585721
1 vs. 1,0.630457516
1 vs. 1,0.66379085
1 vs. 1,0.579713424
1 vs. 1,0.613046757
1 vs. 1,0.527567694
1 vs. 1,0.679281046
1 vs. 1,0.668169935
1 vs. 1,0.712614379
1 vs. 1,0.701503268
1 vs. 1,0.662614379
1 vs. 1,0.4239819
1 vs. 1,0.4739819
1 vs. 1,0.440648567
1 vs. 1,0.4739819
1 vs. 1,0.499824032
1 vs. 1,0.566490699
1 vs. 1,0.704715219
1 vs. 1,0.704715219
1 vs. 1,0.699220714
1 vs. 1,0.780316742
1 vs. 1,0.830316742
1 vs. 1,0.548793363
1 vs. 1,0.648793363
1 vs. 1,0.681523379
1 vs. 1,0.74263449
1 vs. 1,0.437481146
1 vs. 1,0.501503268
1 vs. 1,0.430090498
1 vs. 1,0.583056812
1 vs. 1,0.563122172
1 vs. 1,0.496455505
1 vs. 1,0.512745098
1 vs. 1,0.561694678
1 vs. 1,0.472574158
1 vs. 1,0.615228758
1 vs. 1,0.615228758
1 vs. 1,0.615228758
1 vs. 1,0.699673203
1 vs. 1,0.697712418
1 vs. 1,0.608263305
1 vs. 1,0.648039216
1 vs. 1,0.631372549
1 vs. 1,0.63745098
1 vs. 1,0.540616246
1 vs. 1,0.559056956
1 vs. 1,0.510935143
1 vs. 1,0.544268477
1 vs. 1,0.499824032
1 vs. 1,0.541316527
1 vs. 1,0.506302521
1 vs. 1,0.711538462
1 vs. 1,0.633760684
1 vs. 1,0.739316239
1 vs. 1,0.6089169
1 vs. 1,0.547805789
1 vs. 1,0.547805789
1 vs. 1,0.6089169
1 vs. 1,0.524901961
1 vs. 1,0.465887381
1 vs. 1,0.468903972
1 vs. 1,0.570183629
1 vs. 1,0.586850296
1 vs. 1,0.394268477
1 vs. 1,0.534620098
1 vs. 1,0.478506787
1 vs. 1,0.527217554
1 vs. 1,0.493837535
1 vs. 1,0.490045249
1 vs. 1,0.521907994
1 vs. 1,0.573378582
1 vs. 1,0.562267471
1 vs. 1,0.590045249
1 vs. 1,0.595600804
1 vs. 1,0.423378582
1 vs. 1,0.528934138
1 vs. 1,0.520522876
1 vs. 1,0.425980392
1 vs. 1,0.462511671
1 vs. 1,0.42394958
1 vs. 1,0.457843137
1 vs. 1,0.373921569
1 vs. 1,0.373921569
1 vs. 1,0.628205128
1 vs. 1,0.570168067
1 vs. 1,0.475723623
1 vs. 1,0.553501401
1 vs. 1,0.470168067
1 vs. 1,0.573202614
1 vs. 1,0.634313725
1 vs. 1,0.716666667
1 vs. 1,0.621661998
1 vs. 1,0.609943978
1 vs. 1,0.51546003
1 vs. 1,0.704348919
1 vs. 1,0.754348919
1 vs. 1,0.687682252
1 vs. 1,0.687682252
1 vs. 1,0.530090498
1 vs. 1,0.718979387
1 vs. 1,0.550245098
1 vs. 1,0.65042735
1 vs. 1,0.53767507
1 vs. 1,0.528205128
1 vs. 1,0.528205128
1 vs. 1,0.540648567
1 vs. 1,0.493837535
1 vs. 1,0.579963235
1 vs. 1,0.471498599
1 vs. 1,0.441023284
1 vs. 1,0.492118416
1 vs. 1,0.493464052
1 vs. 1,0.709426848
1 vs. 1,0.761111111
1 vs. 1,0.811111111
1 vs. 1,0.55042735
1 vs. 1,0.746078431
1 vs. 1,0.73496732
1 vs. 1,0.546078431
1 vs. 1,0.612745098
1 vs. 1,0.612745098
1 vs. 1,0.546078431
1 vs. 1,0.701633987
1 vs. 1,0.701633987
1 vs. 1,0.510030166
1 vs. 1,0.576696833
1 vs. 1,0.576696833
1 vs. 1,0.510030166
1 vs. 1,0.739869281
1 vs. 1,0.57745098
1 vs. 1,0.524409251
1 vs. 1,0.539355742
1 vs. 1,0.65042735
1 vs. 1,0.605982906
1 vs. 1,0.627591036
1 vs. 1,0.594257703
1 vs. 1,0.683146592
1 vs. 1,0.633760684
1 vs. 1,0.70042735
1 vs. 1,0.440392157
1 vs. 1,0.622951232
1 vs. 1,0.534364002
1 vs. 1,0.574886878
1 vs. 1,0.827476119
1 vs. 1,0.756586224
1 vs. 1,0.745475113
1 vs. 1,0.745475113
1 vs. 1,0.607189542
1 vs. 1,0.626535948
1 vs. 1,0.574221453
1 vs. 1,0.549095023
1 vs. 1,0.523202614
1 vs. 1,0.479411765
1 vs. 1,0.479411765
1 vs. 1,0.457315234
1 vs. 1,0.457315234
1 vs. 1,0.511297852
1 vs. 1,0.505742297
1 vs. 1,0.500186741
1 vs. 1,0.516853408
1 vs. 1,0.682855706
1 vs. 1,0.462745098
1 vs. 1,0.411840121
1 vs. 1,0.478506787
1 vs. 1,0.485294118
1 vs. 1,0.474929972
1 vs. 1,0.7202363
1 vs. 1,0.642458522
1 vs. 1,0.558714597
1 vs. 1,0.626563959
1 vs. 1,0.64519141
1 vs. 1,0.587908497
1 vs. 1,0.649019608
1 vs. 1,0.57124183
1 vs. 1,0.57124183
1 vs. 1,0.515686275
1 vs. 1,0.508220211
1 vs. 1,0.595490196
1 vs. 1,0.662341407
1 vs. 1,0.744257703
1 vs. 1,0.749813259
1 vs. 1,0.585597572
1 vs. 1,0.572689076
1 vs. 1,0.694911298
1 vs. 1,0.622689076
1 vs. 1,0.561577965
1 vs. 1,0.506022409
1 vs. 1,0.501503268
1 vs. 1,0.492401961
1 vs. 1,0.425735294
1 vs. 1,0.425735294
1 vs. 1,0.627871148
1 vs. 1,0.644537815
1 vs. 1,0.644537815
1 vs. 1,0.749095023
1 vs. 1,0.682428356
1 vs. 1,0.512179487
1 vs. 1,0.463650075
1 vs. 1,0.474459527
1 vs. 1,0.568903972
1 vs. 1,0.535570639
1 vs. 1,0.585570639
1 vs. 1,0.701633987
1 vs. 1,0.629411765
1 vs. 1,0.588260432
1 vs. 1,0.566059757
1 vs. 1,0.714005602
1 vs. 1,0.679411765
1 vs. 1,0.57760181
1 vs. 1,0.610935143
1 vs. 1,0.54671003
1 vs. 1,0.537506285
1 vs. 1,0.548617396
1 vs. 1,0.561840121
1 vs. 1,0.613046757
1 vs. 1,0.679411765
1 vs. 1,0.565284062
1 vs. 1,0.599393091
1 vs. 1,0.532726424
1 vs. 1,0.609383754
1 vs. 1,0.609383754
1 vs. 1,0.525490196
1 vs. 1,0.63612368
1 vs. 1,0.446078431
1 vs. 1,0.512745098
1 vs. 1,0.512745098
1 vs. 1,0.588838612
1 vs. 1,0.637320261
1 vs. 1,0.570653595
1 vs. 1,0.519758673
1 vs. 1,0.49682001
1 vs. 1,0.491897101
1 vs. 1,0.525661376
1 vs. 1,0.611538462
1 vs. 1,0.594871795
1 vs. 1,0.561538462
1 vs. 1,0.430588235
1 vs. 1,0.478306878
1 vs. 1,0.681139122
1 vs. 1,0.614472456
1 vs. 1,0.344871795
1 vs. 1,0.396862745
1 vs. 1,0.516106443
1 vs. 1,0.553034547
1 vs. 1,0.564923747
1 vs. 1,0.668979387
1 vs. 1,0.657868276
1 vs. 1,0.60231272
1 vs. 1,0.591201609
1 vs. 1,0.482773109
1 vs. 1,0.588235294
1 vs. 1,0.551030669
1 vs. 1,0.452978884
1 vs. 1,0.54379085
1 vs. 1,0.61379085
1 vs. 1,0.408235294
1 vs. 1,0.503610819
1 vs. 1,0.503610819
1 vs. 1,0.534248366
1 vs. 1,0.600915033
1 vs. 1,0.58496732
1 vs. 1,0.63496732
1 vs. 1,0.744257703
1 vs. 1,0.749813259
1 vs. 1,0.677591036
1 vs. 1,0.683146592
1 vs. 1,0.562614379
1 vs. 1,0.695947712
1 vs. 1,0.575882353
1 vs. 1,0.619607843
1 vs. 1,0.459175465
1 vs. 1,0.629069406
1 vs. 1,0.462614379
1 vs. 1,0.618169935
1 vs. 1,0.55563097
1 vs. 1,0.735060691
1 vs. 1,0.768394024
1 vs. 1,0.710884867
1 vs. 1,0.736134454
1 vs. 1,0.469467787
1 vs. 1,0.644695827
1 vs. 1,0.761362494
1 vs. 1,0.513305322
1 vs. 1,0.64668175
